q2_bin,q2,w_bin,w,value,error
7,3.3250e+00,23,1.6625e+00,1.0703e-03,4.8153e-05
7,3.3250e+00,24,1.6875e+00,1.0961e-03,4.5313e-05
7,3.3250e+00,25,1.7125e+00,1.2943e-03,5.1915e-05
7,3.3250e+00,26,1.7375e+00,1.3444e-03,5.4293e-05
7,3.3250e+00,27,1.7625e+00,1.1803e-03,4.7316e-05
7,3.3250e+00,28,1.7875e+00,1.1028e-03,4.3727e-05
7,3.3250e+00,29,1.8125e+00,1.1137e-03,4.3744e-05
7,3.3250e+00,30,1.8375e+00,1.2964e-03,5.0454e-05
7,3.3250e+00,31,1.8625e+00,1.3240e-03,5.1113e-05
7,3.3250e+00,32,1.8875e+00,1.2740e-03,4.7524e-05
7,3.3250e+00,33,1.9125e+00,1.4197e-03,5.3319e-05
7,3.3250e+00,34,1.9375e+00,1.5418e-03,5.5660e-05
7,3.3250e+00,35,1.9625e+00,1.5137e-03,5.4868e-05
7,3.3250e+00,36,1.9875e+00,1.4072e-03,4.9285e-05
7,3.3250e+00,37,2.0125e+00,1.5680e-03,5.3660e-05
7,3.3250e+00,38,2.0375e+00,1.5494e-03,5.2841e-05
7,3.3250e+00,39,2.0625e+00,1.6334e-03,5.4939e-05
7,3.3250e+00,40,2.0875e+00,1.7198e-03,5.8010e-05
8,3.5750e+00,1,1.1125e+00,3.7582e-05,9.7725e-06
8,3.5750e+00,2,1.1375e+00,6.6230e-05,1.1752e-05
8,3.5750e+00,3,1.1625e+00,9.7490e-05,1.4287e-05
8,3.5750e+00,4,1.1875e+00,1.9193e-04,2.4507e-05
8,3.5750e+00,5,1.2125e+00,3.6463e-04,4.3394e-05
8,3.5750e+00,6,1.2375e+00,2.3094e-04,2.3964e-05
8,3.5750e+00,7,1.2625e+00,2.5902e-04,2.4572e-05
8,3.5750e+00,8,1.2875e+00,2.6799e-04,2.6552e-05
8,3.5750e+00,9,1.3125e+00,2.6465e-04,2.4759e-05
8,3.5750e+00,10,1.3375e+00,2.2189e-04,1.8802e-05
8,3.5750e+00,11,1.3625e+00,2.5142e-04,2.0686e-05
8,3.5750e+00,12,1.3875e+00,3.1704e-04,2.4951e-05
8,3.5750e+00,13,1.4125e+00,3.2413e-04,2.3921e-05
8,3.5750e+00,14,1.4375e+00,3.4277e-04,2.4175e-05
8,3.5750e+00,15,1.4625e+00,4.3693e-04,2.9213e-05
8,3.5750e+00,16,1.4875e+00,5.0402e-04,2.8395e-05
8,3.5750e+00,17,1.5125e+00,6.2386e-04,3.5352e-05
8,3.5750e+00,18,1.5375e+00,6.1140e-04,3.4476e-05
8,3.5750e+00,19,1.5625e+00,5.8634e-04,3.2630e-05
8,3.5750e+00,20,1.5875e+00,5.8553e-04,3.3561e-05
8,3.5750e+00,21,1.6125e+00,5.7612e-04,3.1781e-05
8,3.5750e+00,22,1.6375e+00,5.8679e-04,3.0514e-05
8,3.5750e+00,23,1.6625e+00,7.8205e-04,3.9432e-05
8,3.5750e+00,24,1.6875e+00,8.0674e-04,3.7932e-05
8,3.5750e+00,25,1.7125e+00,9.2228e-04,4.4197e-05
8,3.5750e+00,26,1.7375e+00,9.5728e-04,4.5275e-05
8,3.5750e+00,27,1.7625e+00,8.5499e-04,3.9557e-05
8,3.5750e+00,28,1.7875e+00,8.3476e-04,3.8727e-05
8,3.5750e+00,29,1.8125e+00,8.8809e-04,4.1067e-05
8,3.5750e+00,30,1.8375e+00,9.5085e-04,4.2230e-05
8,3.5750e+00,31,1.8625e+00,8.8807e-04,3.8131e-05
8,3.5750e+00,32,1.8875e+00,1.0334e-03,4.3968e-05
8,3.5750e+00,33,1.9125e+00,1.0320e-03,4.3622e-05
8,3.5750e+00,34,1.9375e+00,1.0214e-03,4.2541e-05
8,3.5750e+00,35,1.9625e+00,1.1086e-03,4.4998e-05
8,3.5750e+00,36,1.9875e+00,1.1170e-03,4.5576e-05
8,3.5750e+00,37,2.0125e+00,1.1713e-03,4.6129e-05
8,3.5750e+00,38,2.0375e+00,1.1730e-03,4.5921e-05
8,3.5750e+00,39,2.0625e+00,1.2165e-03,4.6526e-05
8,3.5750e+00,40,2.0875e+00,1.2067e-03,4.5915e-05
9,3.8250e+00,1,1.1125e+00,3.1635e-05,9.7655e-06
9,3.8250e+00,2,1.1375e+00,3.1682e-05,7.4690e-06
9,3.8250e+00,3,1.1625e+00,4.3941e-05,7.7002e-06
9,3.8250e+00,4,1.1875e+00,1.6589e-04,2.4937e-05
9,3.8250e+00,5,1.2125e+00,1.4704e-04,1.9052e-05
9,3.8250e+00,6,1.2375e+00,1.9390e-04,2.4048e-05
9,3.8250e+00,7,1.2625e+00,2.3381e-04,2.6692e-05
9,3.8250e+00,8,1.2875e+00,1.8264e-04,2.1062e-05
9,3.8250e+00,9,1.3125e+00,1.9721e-04,2.1288e-05
9,3.8250e+00,10,1.3375e+00,1.9037e-04,1.9913e-05
9,3.8250e+00,11,1.3625e+00,1.9582e-04,1.8001e-05
9,3.8250e+00,12,1.3875e+00,2.3497e-04,2.1545e-05
9,3.8250e+00,13,1.4125e+00,2.2703e-04,1.8975e-05
9,3.8250e+00,14,1.4375e+00,2.5683e-04,2.0583e-05
9,3.8250e+00,15,1.4625e+00,3.0838e-04,2.2437e-05
9,3.8250e+00,16,1.4875e+00,4.6871e-04,3.3394e-05
9,3.8250e+00,17,1.5125e+00,4.2574e-04,2.8111e-05
9,3.8250e+00,18,1.5375e+00,4.6099e-04,2.9784e-05
9,3.8250e+00,19,1.5625e+00,4.4681e-04,2.9880e-05
9,3.8250e+00,20,1.5875e+00,3.8196e-04,2.4298e-05
9,3.8250e+00,21,1.6125e+00,4.2146e-04,2.5811e-05
9,3.8250e+00,22,1.6375e+00,4.8819e-04,2.9231e-05
9,3.8250e+00,23,1.6625e+00,5.6451e-04,3.3069e-05
9,3.8250e+00,24,1.6875e+00,6.7004e-04,3.7602e-05
9,3.8250e+00,25,1.7125e+00,6.7515e-04,3.6036e-05
9,3.8250e+00,26,1.7375e+00,6.0992e-04,3.1659e-05
9,3.8250e+00,27,1.7625e+00,6.3891e-04,3.3430e-05
9,3.8250e+00,28,1.7875e+00,6.1862e-04,3.1677e-05
9,3.8250e+00,29,1.8125e+00,5.7653e-04,2.9358e-05
9,3.8250e+00,30,1.8375e+00,6.9756e-04,3.5074e-05
9,3.8250e+00,31,1.8625e+00,6.9523e-04,3.3938e-05
9,3.8250e+00,32,1.8875e+00,7.5837e-04,3.6727e-05
9,3.8250e+00,33,1.9125e+00,6.9659e-04,3.3064e-05
9,3.8250e+00,34,1.9375e+00,8.0082e-04,3.7543e-05
9,3.8250e+00,35,1.9625e+00,8.2618e-04,3.8021e-05
9,3.8250e+00,36,1.9875e+00,8.5600e-04,3.8909e-05
9,3.8250e+00,37,2.0125e+00,8.4622e-04,3.7554e-05
9,3.8250e+00,38,2.0375e+00,9.6513e-04,4.4054e-05
9,3.8250e+00,39,2.0625e+00,1.0021e-03,5.1191e-05
9,3.8250e+00,40,2.0875e+00,9.3605e-05,2.4329e-06
10,4.0750e+00,1,1.1125e+00,1.8508e-05,8.1186e-06
10,4.0750e+00,2,1.1375e+00,5.6293e-05,1.6510e-05
10,4.0750e+00,3,1.1625e+00,5.2860e-05,9.9310e-06
10,4.0750e+00,4,1.1875e+00,6.2024e-05,1.0552e-05
10,4.0750e+00,5,1.2125e+00,1.0570e-04,1.5889e-05
10,4.0750e+00,6,1.2375e+00,1.6181e-04,2.4548e-05
10,4.0750e+00,7,1.2625e+00,1.6664e-04,2.3875e-05
10,4.0750e+00,8,1.2875e+00,1.2688e-04,1.6136e-05
10,4.0750e+00,9,1.3125e+00,1.2692e-04,1.6687e-05
10,4.0750e+00,10,1.3375e+00,1.6407e-04,1.9757e-05
10,4.0750e+00,11,1.3625e+00,1.3191e-04,1.4844e-05
10,4.0750e+00,12,1.3875e+00,1.5440e-04,1.7718e-05
10,4.0750e+00,13,1.4125e+00,1.8855e-04,1.9171e-05
10,4.0750e+00,14,1.4375e+00,1.8483e-04,1.7596e-05
10,4.0750e+00,15,1.4625e+00,2.2130e-04,1.8298e-05
10,4.0750e+00,16,1.4875e+00,2.8108e-04,2.2058e-05
10,4.0750e+00,17,1.5125e+00,3.4054e-04,2.5150e-05
10,4.0750e+00,18,1.5375e+00,3.0473e-04,2.2698e-05
10,4.0750e+00,19,1.5625e+00,3.1082e-04,2.2778e-05
10,4.0750e+00,20,1.5875e+00,3.3141e-04,2.5411e-05
10,4.0750e+00,21,1.6125e+00,3.0984e-04,2.2229e-05
10,4.0750e+00,22,1.6375e+00,3.7455e-04,2.5296e-05
10,4.0750e+00,23,1.6625e+00,3.9731e-04,2.6647e-05
10,4.0750e+00,24,1.6875e+00,4.5097e-04,2.8408e-05
10,4.0750e+00,25,1.7125e+00,4.7998e-04,2.9821e-05
10,4.0750e+00,26,1.7375e+00,4.6124e-04,2.7268e-05
