run,charge,nfiles,charge_per_file
38722,234515710,22,10659805.0
38723,363812324,33,11024615.878787879
38724,236327782,22,10742171.909090908
38725,80057250,8,10007156.25
38727,242809146,23,10556919.391304348
38728,257316740,24,10721530.833333334
38729,273790366,15,18252691.066666666
38730,266867044,14,19061931.714285713
38731,278928192,15,18595212.8
38732,228832476,12,19069373.0
38733,284125050,15,18941670.0
38734,312928088,17,18407534.588235293
38735,195008494,18,10833805.222222222
38737,245655720,23,10680683.47826087
38738,239450056,22,10884093.454545455
38739,212896034,20,10644801.7
38740,79397374,8,9924671.75
38741,2554332,1,2554332.0
38742,5154370,1,5154370.0
38743,239133976,22,10869726.181818182
38744,264874430,25,10594977.2
38745,249143526,23,10832327.217391305
38746,276079388,26,10618438.0
38748,248985058,23,10825437.304347826
38749,238692932,23,10377953.56521739
38750,237290732,22,10785942.363636363
38751,255304176,24,10637674.0
