,charge,filename,run,stub
399,9818652,clas_038459.A06,038459,06
400,12201900,clas_038203.A07,038203,07
401,13818328,clas_037686.A09,037686,09
402,11163566,clas_038545.A07,038545,07
403,13658322,clas_038320.A14,038320,14
404,12969704,clas_038674.A09,038674,09
405,10957272,clas_038612.A03,038612,03
406,11841646,clas_038441.A16,038441,16
407,12523492,clas_038215.A19,038215,19
408,10688232,clas_038548.A02,038548,02
409,8492566,clas_038664.A02,038664,02
410,11007264,clas_038617.A16,038617,16
411,13518090,clas_037713.A12,037713,12
412,10727320,clas_038681.A09,038681,09
413,12049620,clas_038188.A17,038188,17
414,10400966,clas_038529.A35,038529,35
415,11580294,clas_038640.A09,038640,09
416,11541948,clas_038692.A05,038692,05
417,10908264,clas_038551.A07,038551,07
418,10969680,clas_038470.A04,038470,04
419,12336794,clas_038219.A03,038219,03
420,10837530,clas_038694.A19,038694,19
421,2353976,clas_038440.A34,038440,34
422,10906506,clas_038740.A01,038740,01
423,12648006,clas_038359.A15,038359,15
424,12567054,clas_038676.A19,038676,19
425,3119074,clas_038080.A21,038080,21
426,10885890,clas_038727.A01,038727,01
427,12677846,clas_038674.A18,038674,18
428,12621418,clas_038315.A02,038315,02
429,10922656,clas_038640.A17,038640,17
430,11308492,clas_038176.A03,038176,03
431,12121550,clas_038139.A19,038139,19
432,10600804,clas_038539.A00,038539,00
433,12194182,clas_038133.A01,038133,01
434,11004212,clas_038624.A03,038624,03
435,11000834,clas_038699.A11,038699,11
436,13460546,clas_037659.A07,037659,07
437,11668930,clas_038690.A03,038690,03
438,13368158,clas_037674.A16,037674,16
439,12543496,clas_037815.A11,037815,11
440,11170966,clas_038611.A09,038611,09
441,13334330,clas_037710.A03,037710,03
442,1989248,clas_037746.A20,037746,20
443,10914746,clas_038461.A15,038461,15
444,11841168,clas_038425.A11,038425,11
445,11075670,clas_038708.A14,038708,14
446,10968264,clas_038463.A21,038463,21
447,11365958,clas_038511.A15,038511,15
448,10993998,clas_038457.A17,038457,17
449,11192604,clas_038446.A11,038446,11
450,10910774,clas_038458.A20,038458,20
451,9197704,clas_038662.A04,038662,04
452,11678190,clas_038724.A02,038724,02
453,11615270,clas_038632.A07,038632,07
454,12068918,clas_038195.A12,038195,12
455,12628772,clas_037804.A07,037804,07
456,13154664,clas_037769.A00,037769,00
457,10934258,clas_038513.A22,038513,22
458,11457544,clas_038583.A01,038583,01
459,11061756,clas_038701.A11,038701,11
